

all data
          Score  logscore
count     10.00     10.00
mean  486318.10     13.09
std    30429.19      0.06
min   440166.00     12.99
25%   476778.50     13.07
50%   485517.50     13.09
75%   497541.75     13.12
max   548936.00     13.22


             Score  logscore
0000.txt 548936.00     13.22
0001.txt 500539.00     13.12
0002.txt 488550.00     13.10
0003.txt 448619.00     13.01
0004.txt 475237.00     13.07
0005.txt 483942.00     13.09
0006.txt 440166.00     12.99
0007.txt 487093.00     13.10
0008.txt 508696.00     13.14
0009.txt 481403.00     13.08
